"Company","City","State","County","Latitude","Longitude","Median.Home.Price"
NA,NA,"Kansas","Anderson",NA,NA,181720
NA,NA,"Kansas","Atchison",NA,NA,154470
NA,NA,"Kansas","Barber",NA,NA,102840
NA,NA,"Kansas","Barton",NA,NA,134010
NA,NA,"Kansas","Bourbon",NA,NA,120650
NA,NA,"Kansas","Brown",NA,NA,125210
NA,NA,"Kansas","Butler",NA,NA,270040
NA,NA,"Kansas","Chase",NA,NA,116300
NA,NA,"Kansas","Chautauqua",NA,NA,69440
NA,NA,"Kansas","Cherokee",NA,NA,106130
NA,NA,"Kansas","Cheyenne",NA,NA,133480
NA,NA,"Kansas","Clark",NA,NA,92870
NA,NA,"Kansas","Clay",NA,NA,165290
NA,NA,"Kansas","Cloud",NA,NA,106020
NA,NA,"Kansas","Coffey",NA,NA,166880
NA,NA,"Kansas","Comanche",NA,NA,73790
NA,NA,"Kansas","Cowley",NA,NA,128180
NA,NA,"Kansas","Crawford",NA,NA,140580
NA,NA,"Kansas","Decatur",NA,NA,94890
NA,NA,"Kansas","Dickinson",NA,NA,155640
NA,NA,"Kansas","Doniphan",NA,NA,137880
NA,NA,"Kansas","Douglas",NA,NA,350640
NA,NA,"Kansas","Edwards",NA,NA,75170
NA,NA,"Kansas","Elk",NA,NA,72620
NA,NA,"Kansas","Ellis",NA,NA,229320
NA,NA,"Kansas","Ellsworth",NA,NA,121820
NA,NA,"Kansas","Finney",NA,NA,213530
NA,NA,"Kansas","Ford",NA,NA,160200
NA,NA,"Kansas","Franklin",NA,NA,207720
NA,NA,"Kansas","Geary",NA,NA,177570
NA,NA,"Kansas","Gove",NA,NA,125530
NA,NA,"Kansas","Graham",NA,NA,95310
NA,NA,"Kansas","Grant",NA,NA,116940
NA,NA,"Kansas","Gray",NA,NA,218400
NA,NA,"Kansas","Greeley",NA,NA,122140
NA,NA,"Kansas","Greenwood",NA,NA,94040
NA,NA,"Kansas","Hamilton",NA,NA,122770
NA,NA,"Kansas","Harper",NA,NA,88850
NA,NA,"Kansas","Harvey",NA,NA,185690
NA,NA,"Kansas","Haskell",NA,NA,175040
NA,NA,"Kansas","Hodgeman",NA,NA,107720
NA,NA,"Kansas","Jackson",NA,NA,210120
NA,NA,"Kansas","Jefferson",NA,NA,219850
NA,NA,"Kansas","Jewell",NA,NA,68490
NA,NA,"Kansas","Kearny",NA,NA,213000
NA,NA,"Kansas","Kingman",NA,NA,117790
NA,NA,"Kansas","Kiowa",NA,NA,164650
NA,NA,"Kansas","Labette",NA,NA,100300
NA,NA,"Kansas","Lane",NA,NA,134750
NA,NA,"Kansas","Leavenworth",NA,NA,335680
NA,NA,"Kansas","Lincoln",NA,NA,102730
NA,NA,"Kansas","Linn",NA,NA,181480
NA,NA,"Kansas","Logan",NA,NA,125000
NA,NA,"Kansas","Lyon",NA,NA,159670
NA,NA,"Kansas","McPherson",NA,NA,223920
NA,NA,"Kansas","Marion",NA,NA,131680
NA,NA,"Kansas","Marshall",NA,NA,135390
NA,NA,"Kansas","Meade",NA,NA,157860
NA,NA,"Kansas","Miami",NA,NA,300760
NA,NA,"Kansas","Mitchell",NA,NA,141860
NA,NA,"Kansas","Montgomery",NA,NA,107820
NA,NA,"Kansas","Morris",NA,NA,137400
NA,NA,"Kansas","Morton",NA,NA,101890
NA,NA,"Kansas","Nemaha",NA,NA,230280
NA,NA,"Kansas","Neosho",NA,NA,118000
NA,NA,"Kansas","Ness",NA,NA,95100
NA,NA,"Kansas","Norton",NA,NA,107610
NA,NA,"Kansas","Osage",NA,NA,158930
NA,NA,"Kansas","Osborne",NA,NA,91600
NA,NA,"Kansas","Ottawa",NA,NA,175990
NA,NA,"Kansas","Pawnee",NA,NA,98600
NA,NA,"Kansas","Phillips",NA,NA,102310
NA,NA,"Kansas","Pottawatomie",NA,NA,252840
NA,NA,"Kansas","Pratt",NA,NA,121500
NA,NA,"Kansas","Rawlins",NA,NA,110050
NA,NA,"Kansas","Reno",NA,NA,140480
NA,NA,"Kansas","Republic",NA,NA,80150
NA,NA,"Kansas","Rice",NA,NA,110900
NA,NA,"Kansas","Riley",NA,NA,263020
NA,NA,"Kansas","Rooks",NA,NA,94360
NA,NA,"Kansas","Rush",NA,NA,88630
NA,NA,"Kansas","Russell",NA,NA,126160
NA,NA,"Kansas","Saline",NA,NA,190410
NA,NA,"Kansas","Scott",NA,NA,169630
NA,NA,"Kansas","Seward",NA,NA,144720
NA,NA,"Kansas","Shawnee",NA,NA,215290
NA,NA,"Kansas","Sheridan",NA,NA,177270
NA,NA,"Kansas","Sherman",NA,NA,144930
NA,NA,"Kansas","Smith",NA,NA,99770
NA,NA,"Kansas","Stafford",NA,NA,103480
NA,NA,"Kansas","Stanton",NA,NA,71880
NA,NA,"Kansas","Stevens",NA,NA,137080
NA,NA,"Kansas","Sumner",NA,NA,139140
NA,NA,"Kansas","Thomas",NA,NA,183100
NA,NA,"Kansas","Trego",NA,NA,128180
NA,NA,"Kansas","Wabaunsee",NA,NA,179710
NA,NA,"Kansas","Wallace",NA,NA,111320
NA,NA,"Kansas","Washington",NA,NA,124150
NA,NA,"Kansas","Wichita",NA,NA,105280
NA,NA,"Kansas","Wilson",NA,NA,99130
NA,NA,"Kansas","Woodson",NA,NA,86090
NA,NA,"Kansas","Wyandotte",NA,NA,211280
NA,NA,"Kentucky","Adair",NA,NA,157880
NA,NA,"Kentucky","Allen",NA,NA,201330
NA,NA,"Kentucky","Anderson",NA,NA,235670
NA,NA,"Kentucky","Ballard",NA,NA,152650
NA,NA,"Kentucky","Barren",NA,NA,186360
NA,NA,"Kentucky","Bath",NA,NA,135900
NA,NA,"Kentucky","Bell",NA,NA,93180
NA,NA,"Kentucky","Boone",NA,NA,325930
NA,NA,"Kentucky","Bourbon",NA,NA,241370
NA,NA,"Kentucky","Boyd",NA,NA,140080
NA,NA,"Kentucky","Boyle",NA,NA,219760
NA,NA,"Kentucky","Bracken",NA,NA,130670
NA,NA,"Kentucky","Breathitt",NA,NA,73600
NA,NA,"Kentucky","Breckinridge",NA,NA,164060
NA,NA,"Kentucky","Bullitt",NA,NA,285330
NA,NA,"Kentucky","Butler",NA,NA,116320
NA,NA,"Kentucky","Caldwell",NA,NA,124070
NA,NA,"Kentucky","Calloway",NA,NA,191800
NA,NA,"Kentucky","Campbell",NA,NA,291540
NA,NA,"Kentucky","Carlisle",NA,NA,126050
NA,NA,"Kentucky","Carroll",NA,NA,147520
NA,NA,"Kentucky","Carter",NA,NA,139040
NA,NA,"Kentucky","Casey",NA,NA,142700
NA,NA,"Kentucky","Christian",NA,NA,209130
NA,NA,"Kentucky","Clark",NA,NA,216630
NA,NA,"Kentucky","Clay",NA,NA,94960
NA,NA,"Kentucky","Clinton",NA,NA,127940
NA,NA,"Kentucky","Crittenden",NA,NA,133280
NA,NA,"Kentucky","Cumberland",NA,NA,147730
NA,NA,"Kentucky","Daviess",NA,NA,217920
NA,NA,"Kentucky","Edmonson",NA,NA,168910
NA,NA,"Kentucky","Elliott",NA,NA,129300
NA,NA,"Kentucky","Estill",NA,NA,125110
NA,NA,"Kentucky","Fayette",NA,NA,335160
NA,NA,"Kentucky","Fleming",NA,NA,141030
NA,NA,"Kentucky","Floyd",NA,NA,103340
NA,NA,"Kentucky","Franklin",NA,NA,226770
NA,NA,"Kentucky","Fulton",NA,NA,82810
NA,NA,"Kentucky","Gallatin",NA,NA,186280
NA,NA,"Kentucky","Garrard",NA,NA,214520
NA,NA,"Kentucky","Grant",NA,NA,219000
NA,NA,"Kentucky","Graves",NA,NA,154740
NA,NA,"Kentucky","Grayson",NA,NA,172330
NA,NA,"Kentucky","Green",NA,NA,130870
NA,NA,"Kentucky","Greenup",NA,NA,143610
NA,NA,"Kentucky","Hancock",NA,NA,146520
NA,NA,"Kentucky","Hardin",NA,NA,260570
NA,NA,"Kentucky","Harlan",NA,NA,77160
NA,NA,"Kentucky","Harrison",NA,NA,211590
NA,NA,"Kentucky","Hart",NA,NA,152860
NA,NA,"Kentucky","Henderson",NA,NA,176130
NA,NA,"Kentucky","Henry",NA,NA,205330
NA,NA,"Kentucky","Hickman",NA,NA,121130
NA,NA,"Kentucky","Hopkins",NA,NA,149510
NA,NA,"Kentucky","Jackson",NA,NA,116740
NA,NA,"Kentucky","Jessamine",NA,NA,282210
NA,NA,"Kentucky","Johnson",NA,NA,125850
NA,NA,"Kentucky","Kenton",NA,NA,297810
NA,NA,"Kentucky","Knott",NA,NA,80620
NA,NA,"Kentucky","Knox",NA,NA,124270
NA,NA,"Kentucky","Larue",NA,NA,187650
NA,NA,"Kentucky","Laurel",NA,NA,166990
NA,NA,"Kentucky","Lawrence",NA,NA,116950
NA,NA,"Kentucky","Lee",NA,NA,87840
NA,NA,"Kentucky","Leslie",NA,NA,72240
NA,NA,"Kentucky","Letcher",NA,NA,70570
NA,NA,"Kentucky","Lewis",NA,NA,100510
NA,NA,"Kentucky","Lincoln",NA,NA,154220
NA,NA,"Kentucky","Livingston",NA,NA,131500
NA,NA,"Kentucky","Logan",NA,NA,172640
NA,NA,"Kentucky","Lyon",NA,NA,198400
NA,NA,"Kentucky","McCracken",NA,NA,219650
NA,NA,"Kentucky","McCreary",NA,NA,89310
NA,NA,"Kentucky","McLean",NA,NA,154100
NA,NA,"Kentucky","Madison",NA,NA,281320
NA,NA,"Kentucky","Magoffin",NA,NA,93180
NA,NA,"Kentucky","Marion",NA,NA,175990
NA,NA,"Kentucky","Marshall",NA,NA,181960
NA,NA,"Kentucky","Martin",NA,NA,90980
NA,NA,"Kentucky","Mason",NA,NA,169080
NA,NA,"Kentucky","Meade",NA,NA,215710
NA,NA,"Kentucky","Menifee",NA,NA,131710
NA,NA,"Kentucky","Mercer",NA,NA,211800
NA,NA,"Kentucky","Metcalfe",NA,NA,115380
NA,NA,"Kentucky","Monroe",NA,NA,121340
NA,NA,"Kentucky","Montgomery",NA,NA,180290
NA,NA,"Kentucky","Morgan",NA,NA,123750
NA,NA,"Kentucky","Muhlenberg",NA,NA,133380
NA,NA,"Kentucky","Nelson",NA,NA,246940
NA,NA,"Kentucky","Nicholas",NA,NA,128780
NA,NA,"Kentucky","Ohio",NA,NA,127100
NA,NA,"Kentucky","Oldham",NA,NA,420730
NA,NA,"Kentucky","Owen",NA,NA,176620
NA,NA,"Kentucky","Owsley",NA,NA,83860
NA,NA,"Kentucky","Pendleton",NA,NA,167040
NA,NA,"Kentucky","Perry",NA,NA,96110
NA,NA,"Kentucky","Pike",NA,NA,117260
NA,NA,"Kentucky","Powell",NA,NA,147730
NA,NA,"Kentucky","Pulaski",NA,NA,197880
NA,NA,"Kentucky","Robertson",NA,NA,172850
NA,NA,"Kentucky","Rockcastle",NA,NA,129400
NA,NA,"Kentucky","Rowan",NA,NA,169400
NA,NA,"Kentucky","Russell",NA,NA,170860
NA,NA,"Kentucky","Scott",NA,NA,303690
NA,NA,"Kentucky","Shelby",NA,NA,316250
NA,NA,"Kentucky","Simpson",NA,NA,240170
NA,NA,"Kentucky","Spencer",NA,NA,342400
NA,NA,"Kentucky","Taylor",NA,NA,182380
NA,NA,"Kentucky","Todd",NA,NA,174530
NA,NA,"Kentucky","Trigg",NA,NA,213560
NA,NA,"Kentucky","Trimble",NA,NA,178460
NA,NA,"Kentucky","Union",NA,NA,109410
NA,NA,"Kentucky","Warren",NA,NA,296830
NA,NA,"Kentucky","Washington",NA,NA,187620
NA,NA,"Kentucky","Wayne",NA,NA,142070
NA,NA,"Kentucky","Webster",NA,NA,115680
NA,NA,"Kentucky","Whitley",NA,NA,137990
NA,NA,"Kentucky","Wolfe",NA,NA,79360
NA,NA,"Kentucky","Woodford",NA,NA,315470
NA,NA,"Maine","Androscoggin",NA,NA,323000
NA,NA,"Maine","Aroostook",NA,NA,172330
NA,NA,"Maine","Cumberland",NA,NA,526740
NA,NA,"Maine","Franklin",NA,NA,206600
NA,NA,"Maine","Hancock",NA,NA,329370
NA,NA,"Maine","Kennebec",NA,NA,298390
NA,NA,"Maine","Knox",NA,NA,344760
NA,NA,"Maine","Lincoln",NA,NA,353040
NA,NA,"Maine","Oxford",NA,NA,230580
NA,NA,"Maine","Penobscot",NA,NA,263880
NA,NA,"Maine","Piscataquis",NA,NA,180600
NA,NA,"Maine","Sagadahoc",NA,NA,350640
NA,NA,"Maine","Somerset",NA,NA,177100
NA,NA,"Maine","Waldo",NA,NA,273450
NA,NA,"Maine","Washington",NA,NA,171690
NA,NA,"Maine","York",NA,NA,479510
NA,NA,"Maryland","Anne Arundel",NA,NA,499970
NA,NA,"Maryland","Baltimore",NA,NA,369090
NA,NA,"Maryland","Calvert",NA,NA,506930
NA,NA,"Maryland","Caroline",NA,NA,298690
NA,NA,"Maryland","Carroll",NA,NA,475500
NA,NA,"Maryland","Cecil",NA,NA,381510
NA,NA,"Maryland","Charles",NA,NA,475640
NA,NA,"Maryland","Dorchester",NA,NA,270170
NA,NA,"Maryland","Frederick",NA,NA,518460
NA,NA,"Maryland","Garrett",NA,NA,242270
NA,NA,"Maryland","Harford",NA,NA,416800
NA,NA,"Maryland","Howard",NA,NA,648020
NA,NA,"Maryland","Kent",NA,NA,340700
NA,NA,"Maryland","Prince George's",NA,NA,448780
NA,NA,"Maryland","Queen Anne's",NA,NA,475710
NA,NA,"Maryland","St. Mary's",NA,NA,427600
NA,NA,"Maryland","Somerset",NA,NA,185170
NA,NA,"Maryland","Talbot",NA,NA,421830
NA,NA,"Maryland","Washington",NA,NA,321070
NA,NA,"Maryland","Wicomico",NA,NA,294970
NA,NA,"Maryland","Worcester",NA,NA,385790
NA,NA,"Massachusetts","Barnstable",NA,NA,709130
NA,NA,"Massachusetts","Bristol",NA,NA,531330
NA,NA,"Massachusetts","Dukes",NA,NA,1269310
NA,NA,"Massachusetts","Essex",NA,NA,683210
NA,NA,"Massachusetts","Nantucket",NA,NA,1735310
NA,NA,"Massachusetts","Plymouth",NA,NA,629030
NA,NA,"Michigan","Alcona",NA,NA,173180
NA,NA,"Michigan","Alger",NA,NA,187440
NA,NA,"Michigan","Allegan",NA,NA,332320
NA,NA,"Michigan","Alpena",NA,NA,163710
NA,NA,"Michigan","Antrim",NA,NA,271790
NA,NA,"Michigan","Arenac",NA,NA,160200
NA,NA,"Michigan","Baraga",NA,NA,146910
NA,NA,"Michigan","Barry",NA,NA,278620
NA,NA,"Michigan","Bay",NA,NA,178070
NA,NA,"Michigan","Benzie",NA,NA,303920
NA,NA,"Michigan","Branch",NA,NA,172860
NA,NA,"Michigan","Cass",NA,NA,225490
NA,NA,"Michigan","Charlevoix",NA,NA,294450
NA,NA,"Michigan","Cheboygan",NA,NA,204770
NA,NA,"Michigan","Chippewa",NA,NA,172220
NA,NA,"Michigan","Clare",NA,NA,142330
NA,NA,"Michigan","Clinton",NA,NA,306540
NA,NA,"Michigan","Crawford",NA,NA,173390
NA,NA,"Michigan","Delta",NA,NA,167120
NA,NA,"Michigan","Dickinson",NA,NA,163080
NA,NA,"Michigan","Emmet",NA,NA,335830
NA,NA,"Michigan","Genesee",NA,NA,214030
NA,NA,"Michigan","Gladwin",NA,NA,172650
NA,NA,"Michigan","Gogebic",NA,NA,114040
NA,NA,"Michigan","Grand Traverse",NA,NA,426140
NA,NA,"Michigan","Gratiot",NA,NA,156910
NA,NA,"Michigan","Hillsdale",NA,NA,187330
NA,NA,"Michigan","Houghton",NA,NA,170100
NA,NA,"Michigan","Huron",NA,NA,164140
NA,NA,"Michigan","Ingham",NA,NA,229650
NA,NA,"Michigan","Ionia",NA,NA,252460
NA,NA,"Michigan","Iosco",NA,NA,151270
NA,NA,"Michigan","Iron",NA,NA,116060
NA,NA,"Michigan","Isabella",NA,NA,196160
NA,NA,"Michigan","Kalkaska",NA,NA,200950
NA,NA,"Michigan","Keweenaw",NA,NA,180630
NA,NA,"Michigan","Lake",NA,NA,142440
NA,NA,"Michigan","Lapeer",NA,NA,278710
NA,NA,"Michigan","Leelanau",NA,NA,487630
NA,NA,"Michigan","Lenawee",NA,NA,255840
NA,NA,"Michigan","Livingston",NA,NA,404780
NA,NA,"Michigan","Luce",NA,NA,119140
NA,NA,"Michigan","Mackinac",NA,NA,185630
NA,NA,"Michigan","Macomb",NA,NA,283060
NA,NA,"Michigan","Manistee",NA,NA,193820
NA,NA,"Michigan","Marquette",NA,NA,263920
NA,NA,"Michigan","Mason",NA,NA,233600
NA,NA,"Michigan","Mecosta",NA,NA,190310
NA,NA,"Michigan","Menominee",NA,NA,161480
NA,NA,"Michigan","Midland",NA,NA,236480
NA,NA,"Michigan","Missaukee",NA,NA,181270
NA,NA,"Michigan","Monroe",NA,NA,266270
NA,NA,"Michigan","Montcalm",NA,NA,229140
NA,NA,"Michigan","Montmorency",NA,NA,168710
NA,NA,"Michigan","Muskegon",NA,NA,235010
NA,NA,"Michigan","Newaygo",NA,NA,196970
NA,NA,"Michigan","Oceana",NA,NA,202220
NA,NA,"Michigan","Ogemaw",NA,NA,164780
NA,NA,"Michigan","Ontonagon",NA,NA,118820
NA,NA,"Michigan","Osceola",NA,NA,165310
NA,NA,"Michigan","Oscoda",NA,NA,133500
NA,NA,"Michigan","Otsego",NA,NA,233710
NA,NA,"Michigan","Presque Isle",NA,NA,160950
NA,NA,"Michigan","Roscommon",NA,NA,168820
NA,NA,"Michigan","Saginaw",NA,NA,165080
NA,NA,"Michigan","St. Clair",NA,NA,257570
NA,NA,"Michigan","St. Joseph",NA,NA,189670
NA,NA,"Michigan","Sanilac",NA,NA,179030
NA,NA,"Michigan","Schoolcraft",NA,NA,150840
NA,NA,"Michigan","Shiawassee",NA,NA,210090
NA,NA,"Michigan","Tuscola",NA,NA,159030
NA,NA,"Michigan","Van Buren",NA,NA,243230
NA,NA,"Michigan","Wexford",NA,NA,181270
NA,NA,"Minnesota","Aitkin",NA,NA,268100
NA,NA,"Minnesota","Anoka",NA,NA,371200
NA,NA,"Minnesota","Becker",NA,NA,304990
NA,NA,"Minnesota","Beltrami",NA,NA,248920
NA,NA,"Minnesota","Benton",NA,NA,272700
NA,NA,"Minnesota","Big Stone",NA,NA,177230
NA,NA,"Minnesota","Blue Earth",NA,NA,289720
NA,NA,"Minnesota","Brown",NA,NA,200390
NA,NA,"Minnesota","Carlton",NA,NA,262480
NA,NA,"Minnesota","Carver",NA,NA,480980
NA,NA,"Minnesota","Cass",NA,NA,302160
NA,NA,"Minnesota","Chippewa",NA,NA,163610
NA,NA,"Minnesota","Chisago",NA,NA,362050
NA,NA,"Minnesota","Clay",NA,NA,281620
NA,NA,"Minnesota","Clearwater",NA,NA,201340
NA,NA,"Minnesota","Cook",NA,NA,352370
NA,NA,"Minnesota","Cottonwood",NA,NA,177440
NA,NA,"Minnesota","Crow Wing",NA,NA,341470
NA,NA,"Minnesota","Dodge",NA,NA,299020
NA,NA,"Minnesota","Douglas",NA,NA,336850
NA,NA,"Minnesota","Faribault",NA,NA,141810
NA,NA,"Minnesota","Fillmore",NA,NA,231730
NA,NA,"Minnesota","Freeborn",NA,NA,179330
NA,NA,"Minnesota","Goodhue",NA,NA,298810
NA,NA,"Minnesota","Grant",NA,NA,200180
NA,NA,"Minnesota","Houston",NA,NA,254270
NA,NA,"Minnesota","Hubbard",NA,NA,296190
NA,NA,"Minnesota","Isanti",NA,NA,315030
NA,NA,"Minnesota","Itasca",NA,NA,236030
NA,NA,"Minnesota","Jackson",NA,NA,164650
NA,NA,"Minnesota","Kanabec",NA,NA,239070
NA,NA,"Minnesota","Kandiyohi",NA,NA,254890
NA,NA,"Minnesota","Kittson",NA,NA,141280
NA,NA,"Minnesota","Koochiching",NA,NA,164130
NA,NA,"Minnesota","Lac qui Parle",NA,NA,165180
NA,NA,"Minnesota","Lake",NA,NA,252900
NA,NA,"Minnesota","Lake of the Woods",NA,NA,226490
NA,NA,"Minnesota","Le Sueur",NA,NA,331720
NA,NA,"Minnesota","Lincoln",NA,NA,172310
NA,NA,"Minnesota","Lyon",NA,NA,210350
NA,NA,"Minnesota","McLeod",NA,NA,257930
NA,NA,"Minnesota","Mahnomen",NA,NA,169680
NA,NA,"Minnesota","Marshall",NA,NA,172410
NA,NA,"Minnesota","Martin",NA,NA,171360
NA,NA,"Minnesota","Meeker",NA,NA,260970
NA,NA,"Minnesota","Mille Lacs",NA,NA,270720
NA,NA,"Minnesota","Morrison",NA,NA,260450
NA,NA,"Minnesota","Murray",NA,NA,194310
NA,NA,"Minnesota","Nicollet",NA,NA,278290
NA,NA,"Minnesota","Nobles",NA,NA,206680
NA,NA,"Minnesota","Norman",NA,NA,154170
NA,NA,"Minnesota","Olmsted",NA,NA,353170
NA,NA,"Minnesota","Otter Tail",NA,NA,286130
NA,NA,"Minnesota","Pennington",NA,NA,204900
NA,NA,"Minnesota","Pine",NA,NA,250810
NA,NA,"Minnesota","Pipestone",NA,NA,146940
NA,NA,"Minnesota","Polk",NA,NA,231780
NA,NA,"Minnesota","Pope",NA,NA,267370
NA,NA,"Minnesota","Red Lake",NA,NA,169790
NA,NA,"Minnesota","Redwood",NA,NA,165810
NA,NA,"Minnesota","Renville",NA,NA,171050
NA,NA,"Minnesota","Rice",NA,NA,354780
NA,NA,"Minnesota","Rock",NA,NA,235090
NA,NA,"Minnesota","Roseau",NA,NA,192530
NA,NA,"Minnesota","St. Louis",NA,NA,263880
NA,NA,"Minnesota","Scott",NA,NA,442910
NA,NA,"Minnesota","Sherburne",NA,NA,399600
NA,NA,"Minnesota","Sibley",NA,NA,243050
NA,NA,"Minnesota","Stearns",NA,NA,292930
NA,NA,"Minnesota","Steele",NA,NA,257200
NA,NA,"Minnesota","Stevens",NA,NA,212550
NA,NA,"Minnesota","Swift",NA,NA,169160
NA,NA,"Minnesota","Todd",NA,NA,217690
NA,NA,"Minnesota","Traverse",NA,NA,119590
NA,NA,"Minnesota","Wabasha",NA,NA,274800
NA,NA,"Minnesota","Wadena",NA,NA,181320
NA,NA,"Minnesota","Waseca",NA,NA,231420
NA,NA,"Minnesota","Washington",NA,NA,450730
NA,NA,"Minnesota","Watonwan",NA,NA,170210
NA,NA,"Minnesota","Wilkin",NA,NA,190960
NA,NA,"Minnesota","Winona",NA,NA,246720
NA,NA,"Minnesota","Wright",NA,NA,396200
NA,NA,"Minnesota","Yellow Medicine",NA,NA,162140
NA,NA,"Mississippi","Adams",NA,NA,113840
NA,NA,"Mississippi","Alcorn",NA,NA,148810
NA,NA,"Mississippi","Amite",NA,NA,105560
NA,NA,"Mississippi","Attala",NA,NA,109540
NA,NA,"Mississippi","Benton",NA,NA,110070
NA,NA,"Mississippi","Bolivar",NA,NA,136140
NA,NA,"Mississippi","Calhoun",NA,NA,94570
NA,NA,"Mississippi","Carroll",NA,NA,114780
NA,NA,"Mississippi","Chickasaw",NA,NA,114990
NA,NA,"Mississippi","Choctaw",NA,NA,122740
NA,NA,"Mississippi","Claiborne",NA,NA,86610
NA,NA,"Mississippi","Clarke",NA,NA,123680
NA,NA,"Mississippi","Clay",NA,NA,135200
NA,NA,"Mississippi","Coahoma",NA,NA,94570
NA,NA,"Mississippi","Copiah",NA,NA,117160
NA,NA,"Mississippi","Covington",NA,NA,110070
NA,NA,"Mississippi","DeSoto",NA,NA,306830
NA,NA,"Mississippi","Forrest",NA,NA,194950
NA,NA,"Mississippi","Franklin",NA,NA,106710
NA,NA,"Mississippi","Greene",NA,NA,97080
NA,NA,"Mississippi","Grenada",NA,NA,138450
NA,NA,"Mississippi","Hancock",NA,NA,233860
NA,NA,"Mississippi","Harrison",NA,NA,245640
NA,NA,"Mississippi","Hinds",NA,NA,167680
NA,NA,"Mississippi","Holmes",NA,NA,84200
NA,NA,"Mississippi","Humphreys",NA,NA,91950
NA,NA,"Mississippi","Issaquena",NA,NA,116030
NA,NA,"Mississippi","Itawamba",NA,NA,149130
NA,NA,"Mississippi","Jasper",NA,NA,112160
NA,NA,"Mississippi","Jefferson",NA,NA,85140
NA,NA,"Mississippi","Jefferson Davis",NA,NA,94360
NA,NA,"Mississippi","Jones",NA,NA,145460
NA,NA,"Mississippi","Kemper",NA,NA,104310
NA,NA,"Mississippi","Lafayette",NA,NA,330300
NA,NA,"Mississippi","Lamar",NA,NA,284590
NA,NA,"Mississippi","Lauderdale",NA,NA,154260
NA,NA,"Mississippi","Lawrence",NA,NA,104720
NA,NA,"Mississippi","Leake",NA,NA,122320
NA,NA,"Mississippi","Lee",NA,NA,228400
NA,NA,"Mississippi","Leflore",NA,NA,105980
NA,NA,"Mississippi","Lincoln",NA,NA,163160
NA,NA,"Mississippi","Lowndes",NA,NA,171850
NA,NA,"Mississippi","Madison",NA,NA,317390
NA,NA,"Mississippi","Marion",NA,NA,128600
NA,NA,"Mississippi","Marshall",NA,NA,171670
NA,NA,"Mississippi","Monroe",NA,NA,126510
NA,NA,"Mississippi","Montgomery",NA,NA,132790
NA,NA,"Mississippi","Neshoba",NA,NA,104720
NA,NA,"Mississippi","Newton",NA,NA,111320
NA,NA,"Mississippi","Noxubee",NA,NA,95090
NA,NA,"Mississippi","Oktibbeha",NA,NA,248930
NA,NA,"Mississippi","Panola",NA,NA,133840
NA,NA,"Mississippi","Pearl River",NA,NA,190910
NA,NA,"Mississippi","Perry",NA,NA,131230
NA,NA,"Mississippi","Pike",NA,NA,116030
NA,NA,"Mississippi","Pontotoc",NA,NA,164520
NA,NA,"Mississippi","Prentiss",NA,NA,128290
NA,NA,"Mississippi","Quitman",NA,NA,72890
NA,NA,"Mississippi","Rankin",NA,NA,260400
NA,NA,"Mississippi","Scott",NA,NA,111740
NA,NA,"Mississippi","Sharkey",NA,NA,102630
NA,NA,"Mississippi","Simpson",NA,NA,125480
NA,NA,"Mississippi","Smith",NA,NA,117920
NA,NA,"Mississippi","Stone",NA,NA,168040
NA,NA,"Mississippi","Sunflower",NA,NA,105040
NA,NA,"Mississippi","Tallahatchie",NA,NA,86190
NA,NA,"Mississippi","Tate",NA,NA,213690
NA,NA,"Mississippi","Tippah",NA,NA,129960
NA,NA,"Mississippi","Tishomingo",NA,NA,151950
NA,NA,"Mississippi","Tunica",NA,NA,179850
NA,NA,"Mississippi","Union",NA,NA,171120
NA,NA,"Mississippi","Walthall",NA,NA,132580
NA,NA,"Mississippi","Warren",NA,NA,163790
NA,NA,"Mississippi","Washington",NA,NA,108910
NA,NA,"Mississippi","Wayne",NA,NA,95400
NA,NA,"Mississippi","Webster",NA,NA,125770
NA,NA,"Mississippi","Wilkinson",NA,NA,94250
NA,NA,"Mississippi","Winston",NA,NA,130490
NA,NA,"Mississippi","Yalobusha",NA,NA,128080
NA,NA,"Mississippi","Yazoo",NA,NA,161070
NA,NA,"Missouri","Adair",NA,NA,172460
NA,NA,"Missouri","Andrew",NA,NA,219670
NA,NA,"Missouri","Atchison",NA,NA,111160
NA,NA,"Missouri","Audrain",NA,NA,148940
NA,NA,"Missouri","Barry",NA,NA,195460
NA,NA,"Missouri","Barton",NA,NA,142070
NA,NA,"Missouri","Bates",NA,NA,178560
NA,NA,"Missouri","Benton",NA,NA,185160
NA,NA,"Missouri","Bollinger",NA,NA,189380
NA,NA,"Missouri","Boone",NA,NA,317910
NA,NA,"Missouri","Buchanan",NA,NA,190500
NA,NA,"Missouri","Butler",NA,NA,151020
NA,NA,"Missouri","Caldwell",NA,NA,174060
NA,NA,"Missouri","Callaway",NA,NA,211670
NA,NA,"Missouri","Camden",NA,NA,317860
NA,NA,"Missouri","Cape Girardeau",NA,NA,241830
NA,NA,"Missouri","Carroll",NA,NA,122290
NA,NA,"Missouri","Carter",NA,NA,165900
NA,NA,"Missouri","Cass",NA,NA,328890
NA,NA,"Missouri","Cedar",NA,NA,174960
NA,NA,"Missouri","Chariton",NA,NA,167470
NA,NA,"Missouri","Christian",NA,NA,306820
NA,NA,"Missouri","Clark",NA,NA,136030
