page,museum_name_card,href,museum_url,source_page
1," 4.9
Fort Stevens State Park
 Warrenton, OR
History & Anthropology History",/museum/fort-stevens-state-park-warrenton-13187,https://whichmuseum.com/museum/fort-stevens-state-park-warrenton-13187,https://whichmuseum.com/place/united-states-2682
1," 4.8
Fruitlands Museum - The Trustees of Reservations
 Harvard, MA
History & Anthropology HistoryArt & Design Art",/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,https://whichmuseum.com/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,https://whichmuseum.com/place/united-states-2682
1," 4.9 Online discount!
National September 11 Memorial & Museum
 New York, NY
Specialized & Alternative Specialized",/museum/national-september-11-memorial-museum-new-york-9273,https://whichmuseum.com/museum/national-september-11-memorial-museum-new-york-9273,https://whichmuseum.com/place/united-states-2682
1," 4.7
Empire State Building
 New York, NY
Specialized & Alternative Specialized",/museum/empire-state-building-new-york-21191,https://whichmuseum.com/museum/empire-state-building-new-york-21191,https://whichmuseum.com/place/united-states-2682
1," 4.7
National Museum of American History
 Washington D.C., DC
History & Anthropology History",/museum/national-museum-of-american-history-washington-d-c-9202,https://whichmuseum.com/museum/national-museum-of-american-history-washington-d-c-9202,https://whichmuseum.com/place/united-states-2682
1," 4.7
San Diego Zoo Safari Park
 San Diego, CA
Nature & Natural History Nature",/museum/san-diego-zoo-safari-park-21187,https://whichmuseum.com/museum/san-diego-zoo-safari-park-21187,https://whichmuseum.com/place/united-states-2682
1," 4.7
Ellis Island National Museum of Immigration
 Jersey City, NJ
History & Anthropology HistorySpecialized & Alternative Specialized",/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,https://whichmuseum.com/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,https://whichmuseum.com/place/united-states-2682
1," 4.7
The Dalí Museum
 Saint Petersburg, FL",/museum/the-dali-museum-saint-petersburg-48477,https://whichmuseum.com/museum/the-dali-museum-saint-petersburg-48477,https://whichmuseum.com/place/united-states-2682
1," 4.6
Milwaukee County Zoo
 Milwaukee, WI
Nature & Natural History Nature",/museum/milwaukee-county-zoo-9546,https://whichmuseum.com/museum/milwaukee-county-zoo-9546,https://whichmuseum.com/place/united-states-2682
1," 5.0
National Museum of African American History and Culture
 Washington D.C., DC
History & Anthropology History",/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,https://whichmuseum.com/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,https://whichmuseum.com/place/united-states-2682
1," 4.6
American Museum of Natural History
 New York, NY
Nature & Natural History Nature",/museum/american-museum-of-natural-history-new-york-9274,https://whichmuseum.com/museum/american-museum-of-natural-history-new-york-9274,https://whichmuseum.com/place/united-states-2682
